"district","age","life_exp","gender","municipality_id"
"Usera","75 a 79 años",12.15,"Hombre","28079"
"Puente de Vallecas","75 a 79 años",11.78,"Hombre","28079"
"Moratalaz","75 a 79 años",12.39,"Hombre","28079"
"Ciudad Lineal","75 a 79 años",12.3,"Hombre","28079"
"Hortaleza","75 a 79 años",12.13,"Hombre","28079"
"Villaverde","75 a 79 años",12.18,"Hombre","28079"
"Villa de Vallecas","75 a 79 años",11.87,"Hombre","28079"
"Vicálvaro","75 a 79 años",12.75,"Hombre","28079"
"San Blas-Canillejas ","75 a 79 años",11.69,"Hombre","28079"
"Barajas","75 a 79 años",11.72,"Hombre","28079"
"Centro","80 a 84 años",8.88,"Hombre","28079"
"Arganzuela","80 a 84 años",8.76,"Hombre","28079"
"Retiro","80 a 84 años",9.68,"Hombre","28079"
"Salamanca","80 a 84 años",9.28,"Hombre","28079"
"Chamartín","80 a 84 años",9.56,"Hombre","28079"
"Tetuán","80 a 84 años",9.22,"Hombre","28079"
"Chamberí","80 a 84 años",8.58,"Hombre","28079"
"Fuencarral-El Pardo","80 a 84 años",9.63,"Hombre","28079"
"Moncloa-Aravaca","80 a 84 años",9.43,"Hombre","28079"
"Latina","80 a 84 años",9.52,"Hombre","28079"
"Carabanchel","80 a 84 años",8.93,"Hombre","28079"
"Usera","80 a 84 años",9.08,"Hombre","28079"
"Puente de Vallecas","80 a 84 años",8.83,"Hombre","28079"
"Moratalaz","80 a 84 años",9.4,"Hombre","28079"
"Ciudad Lineal","80 a 84 años",9.14,"Hombre","28079"
"Hortaleza","80 a 84 años",9.21,"Hombre","28079"
"Villaverde","80 a 84 años",9.26,"Hombre","28079"
"Villa de Vallecas","80 a 84 años",9.13,"Hombre","28079"
"Vicálvaro","80 a 84 años",9.67,"Hombre","28079"
"San Blas-Canillejas ","80 a 84 años",8.57,"Hombre","28079"
"Barajas","80 a 84 años",8.64,"Hombre","28079"
"Centro","85 a 89 años",6.04,"Hombre","28079"
"Arganzuela","85 a 89 años",6.14,"Hombre","28079"
"Retiro","85 a 89 años",7.09,"Hombre","28079"
"Salamanca","85 a 89 años",6.5,"Hombre","28079"
"Chamartín","85 a 89 años",6.7,"Hombre","28079"
"Tetuán","85 a 89 años",6.78,"Hombre","28079"
"Chamberí","85 a 89 años",6.42,"Hombre","28079"
"Fuencarral-El Pardo","85 a 89 años",6.76,"Hombre","28079"
"Moncloa-Aravaca","85 a 89 años",6.66,"Hombre","28079"
"Latina","85 a 89 años",6.71,"Hombre","28079"
"Carabanchel","85 a 89 años",6.29,"Hombre","28079"
"Usera","85 a 89 años",6.4,"Hombre","28079"
"Puente de Vallecas","85 a 89 años",6.41,"Hombre","28079"
"Moratalaz","85 a 89 años",6.98,"Hombre","28079"
"Ciudad Lineal","85 a 89 años",6.52,"Hombre","28079"
"Hortaleza","85 a 89 años",6.35,"Hombre","28079"
"Villaverde","85 a 89 años",6.17,"Hombre","28079"
"Villa de Vallecas","85 a 89 años",6.27,"Hombre","28079"
"Vicálvaro","85 a 89 años",6.62,"Hombre","28079"
"San Blas-Canillejas ","85 a 89 años",5.89,"Hombre","28079"
"Barajas","85 a 89 años",5.58,"Hombre","28079"
"Centro","90 a 94 años",4.01,"Hombre","28079"
"Arganzuela","90 a 94 años",4.08,"Hombre","28079"
"Retiro","90 a 94 años",4.98,"Hombre","28079"
"Salamanca","90 a 94 años",4.92,"Hombre","28079"
"Chamartín","90 a 94 años",4.74,"Hombre","28079"
"Tetuán","90 a 94 años",4.81,"Hombre","28079"
"Chamberí","90 a 94 años",4.55,"Hombre","28079"
"Fuencarral-El Pardo","90 a 94 años",4.57,"Hombre","28079"
